Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Cerebral Arteriography,"Hydration, monitor for bleeding, rest","Postop exam, imaging (if complications)","Postprocedure headache, groin pain","Hydration, monitor for bleeding, rest This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Calorie Counting Diet,"Diet plan (e.g., 1500 kcal/day), education","Clinical (diet history), BMI, nutritional eval","Weight change goal, hunger, fatigue","Diet plan (e.g., 1500 kcal/day), education This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tapeworm (Pork),"Praziquantel (50 mg/kg), albendazole","Stool (Taenia solium), CT (cysts), serology","Abdominal pain, cysts, seizures (neurocysticercosis)","Praziquantel (50 milligrams/kg), albendazole This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Patellar Dislocation,"Reduction, bracing, PT (quads strengthening)","Xray (dislocation), MRI (ligament injury)","Knee pain, swelling, instability, trauma","Reduction, bracing, PT (quads strengthening) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tapeworm (Dog),"Praziquantel (5 mg/kg single dose), flea control","Stool (Dipylidium caninum), clinical history","Anal itching, segments in stool, pet exposure","Praziquantel (5 milligrams/kg single dose), flea control This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tapeworm (Beef),"Praziquantel (10 mg/kg single dose), hygiene","Stool (Taenia saginata), CBC (eosinophilia)","Abdominal discomfort, weight loss, segments","Praziquantel (10 milligrams/kg single dose), hygiene This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CPR Steps Child,"CPR (100120/min, 2 inches), AED, call 911","Clinical (no breathing/pulse), immediate","Cardiac arrest, unresponsive, no pulse","CPR (100120/min, 2 inches), AED, call 911 This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Adrenal Insufficiency,"Hydrocortisone (20 mg AM), fludrocortisone","ACTH stim test (cortisol <18 mcg/dL), ACTH","Fatigue, hypotension, hyperpigmentation","Hydrocortisone (20 milligrams AM), fludrocortisone This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Abdominal Pain in Pregnancy,"Treat cause (e.g., hydration), monitor fetus","Ultrasound (fetal/placental), labs (CBC)","Cramping, variable site, trimesterspecific","Treat cause (e.g., hydration), monitor fetus This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mycobacterium marinum,"Clarithromycin (500 mg twice daily), rifampin","Biopsy (AFB), culture (M. marinum)","Skin nodules, fish tank exposure, chronic","Clarithromycin (500 milligrams twice daily), rifampin This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pericardial Window,"Pain relief (morphine 2 mg IV), monitor drain","Postop echo (effusion), clinical exam","Postop chest pain, dyspnea relief","Pain relief (morphine 2 milligrams intravenous), monitor drain This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Reversal of Neuromuscular Blockade,"Sugammadex (2 mg/kg IV), neostigmine","Clinical (TOF fade), nerve stimulator","Postop weakness, respiratory difficulty","Sugammadex (2 milligrams/kg intravenous), neostigmine This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Head Lice,"Permethrin (1% lotion), combing, hygiene","Clinical (lice/nits), combing exam","Scalp itching, nits, lice visible","Permethrin (1% lotion), combing, hygiene This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Blood in Semen (Hemospermia),"Observation, treat cause (e.g., antibiotics)","Clinical, PSA (if prostate), urine (if UTI)","Red semen, painless, variable cause","Observation, treat cause (e.g., antibiotics) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Bocavirus Infection (HBoV, Human Bocavirus)","Supportive care, oxygen (if needed)","RTPCR (HBoV), clinical, chest Xray","Cough, fever, wheezing, pediatric","Supportive care, oxygen (if needed) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Coccygectomy,"Pain relief (oxycodone 5 mg), monitor healing","Postop Xray, clinical exam, wound check","Postop tailbone pain, relief of prior pain","Pain relief (oxycodone 5 milligrams), monitor healing This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Skin Infection, Bacterial","Cephalexin (500 mg 4x daily), drainage (if abscess)","Culture (e.g., S. aureus), clinical exam","Redness, warmth, pus, pain","Cephalexin (500 milligrams 4 times a day), drainage (if abscess) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Immunosuppression,"Adjust meds (e.g., taper steroids), prophylaxis","Clinical (history), labs (e.g., CD4, Ig)","Infections, fatigue, drugrelated","Adjust meds (e.g., taper steroids), prophylaxis This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Platysmal Bands,"Botox (10 units per band), surgery (if severe)","Clinical exam, history (muscle laxity)","Neck bands, cosmetic concern, aging","Botox (10 units per band), surgery (if severe) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Open Appendectomy,"Antibiotics (if abscess), pain control","Postop exam, CT (if complications)","Postop RLQ pain, nausea, fever (if infected)","Antibiotics (if abscess), pain control This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dealing with Chronic Cancer,"Chemo (e.g., paclitaxel), palliative care","Imaging (mets), biopsy, tumor markers","Fatigue, pain, weight loss, emotional distress","Chemo (e.g., paclitaxel), palliative care This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Serum Free Light Chain Testing,"Treat underlying (e.g., bortezomib for MM)","Serum FLC (kappa/lambda ratio), SPEP","Bone pain, fatigue (if myelomarelated)","Treat underlying (e.g., bortezomib for MM) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Urinary Retention,"Catheterization, tamsulosin (0.4 mg)","Bladder scan (>300 mL), clinical, PSA","Inability to void, lower abdominal pain","Catheterization, tamsulosin (0.4 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Allergic Esophagitis,"Swallowed steroids (budesonide), elimination diet","Endoscopy (rings), biopsy (eosinophils)","Dysphagia, food impaction, atopy history","Swallowed steroids (budesonide), elimination diet This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cocaine Intoxication,"Benzodiazepines (lorazepam 2 mg IV), cooling","Urine tox (cocaine), ECG, clinical","Agitation, hypertension, tachycardia, chest pain","Benzodiazepines (lorazepam 2 milligrams intravenous), cooling This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Brain Fog,"Treat cause (e.g., sleep, methylphenidate)","Clinical history, labs (e.g., B12), neuro exam","Cognitive dullness, fatigue, variable cause","Treat cause (e.g., sleep, methylphenidate) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bacterial Meningitis in Children,"Ceftriaxone (100 mg/kg IV), vancomycin","CSF (bacteria), blood culture, LP","Fever, stiff neck, rash, irritability","Ceftriaxone (100 milligrams/kg intravenous), vancomycin This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Gastrectomy,"Small meals, B12 injections (1000 mcg monthly)","Postop endoscopy, labs (B12), exam","Postop nausea, early satiety, weight loss","Small meals, B12 injections (1000 micrograms monthly) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
